                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1553,                  3.108,                 1.3544,                0.71068,                0.58622,                 0.6836,                0.58007,                0.62103,                 1.5266,                0.93385,              0.0033069,              0.0033069,              0.0033069
                      2,                 1.0311,                 2.1131,                  1.228,                0.77311,                 0.7151,                0.81176,                0.68869,                0.59199,                 1.1176,                0.91214,              0.0066336,              0.0066336,              0.0066336
                      3,                0.98548,                 1.8643,                 1.1971,                 0.8058,                0.74136,                0.84788,                0.71081,                0.61469,                0.98641,                0.91786,              0.0099538,              0.0099538,              0.0099538
                      4,                0.98243,                  1.679,                 1.1829,                0.82028,                0.79064,                0.88034,                 0.7425,                 0.6143,                0.79087,                0.91849,              0.0099703,              0.0099703,              0.0099703
                      5,                0.97136,                 1.5317,                  1.176,                0.85233,                0.79121,                 0.9003,                0.75055,                0.63016,                0.75618,                 0.9166,              0.0099703,              0.0099703,              0.0099703
                      6,                0.95669,                 1.4397,                 1.1585,                0.87994,                0.81777,                0.91197,                0.76993,                 0.6015,                0.72628,                0.90515,              0.0099604,              0.0099604,              0.0099604
                      7,                0.93275,                 1.3543,                 1.1496,                0.88446,                 0.8315,                0.92208,                0.78494,                0.58054,                0.69731,                0.90225,              0.0099505,              0.0099505,              0.0099505
                      8,                  0.935,                 1.3073,                 1.1483,                0.89504,                0.84132,                 0.9345,                0.79657,                 0.5855,                0.64444,                0.89805,              0.0099406,              0.0099406,              0.0099406
                      9,                0.90932,                 1.2475,                 1.1275,                 0.9068,                0.89622,                 0.9578,                0.81602,                0.58177,                0.57732,                0.89442,              0.0099307,              0.0099307,              0.0099307
                     10,                0.90915,                 1.2355,                  1.128,                0.91014,                0.86846,                 0.9523,                0.81685,                0.56546,                0.57857,                0.88339,              0.0099208,              0.0099208,              0.0099208
                     11,                0.91421,                 1.2063,                 1.1306,                0.92555,                0.89879,                0.96151,                0.82732,                0.55929,                0.53061,                0.88074,              0.0099109,              0.0099109,              0.0099109
                     12,                0.89579,                 1.1866,                 1.1218,                0.91265,                0.90982,                0.96348,                 0.8285,                0.55921,                0.51575,                0.88068,               0.009901,               0.009901,               0.009901
                     13,                0.89925,                 1.1682,                  1.126,                0.91241,                0.89852,                0.95949,                0.82421,                 0.5667,                0.53399,                0.88793,              0.0098911,              0.0098911,              0.0098911
                     14,                0.88493,                 1.1241,                 1.1162,                0.92624,                0.90409,                0.96307,                0.83285,                0.55008,                0.51461,                0.88183,              0.0098812,              0.0098812,              0.0098812
                     15,                0.87599,                 1.1249,                 1.1071,                0.91394,                0.91805,                0.96112,                0.83357,                0.54388,                 0.5192,                0.87469,              0.0098713,              0.0098713,              0.0098713
                     16,                0.88169,                 1.1013,                 1.1141,                 0.9284,                0.94108,                0.97697,                0.84002,                0.57306,                0.45807,                0.88238,              0.0098614,              0.0098614,              0.0098614
                     17,                0.87993,                 1.0953,                 1.1152,                0.91371,                0.88976,                0.95934,                0.82423,                0.56825,                0.52697,                 0.8859,              0.0098515,              0.0098515,              0.0098515
                     18,                0.88493,                  1.083,                 1.1156,                0.93306,                0.93374,                0.97465,                0.84258,                0.55623,                  0.464,                0.87591,              0.0098416,              0.0098416,              0.0098416
                     19,                0.87647,                 1.0717,                 1.1164,                 0.9291,                0.94597,                0.97877,                0.84969,                0.54113,                 0.4468,                0.87323,              0.0098317,              0.0098317,              0.0098317
                     20,                0.87138,                 1.0554,                 1.1049,                0.94856,                0.93144,                0.97347,                0.84127,                0.55743,                0.46592,                0.87708,              0.0098218,              0.0098218,              0.0098218
                     21,                0.86479,                 1.0516,                 1.1011,                0.95526,                0.94693,                0.98176,                0.84516,                0.56662,                0.44355,                0.88651,              0.0098119,              0.0098119,              0.0098119
                     22,                0.86478,                 1.0413,                 1.1037,                0.93251,                0.93868,                 0.9759,                0.84677,                0.53863,                0.44595,                0.87255,               0.009802,               0.009802,               0.009802
                     23,                0.85715,                 1.0267,                 1.0971,                0.93217,                0.94148,                0.97612,                0.84477,                  0.549,                0.46822,                 0.8778,              0.0097921,              0.0097921,              0.0097921
                     24,                0.85741,                 1.0313,                 1.1053,                0.95333,                0.95424,                0.98468,                0.85602,                0.53812,                0.41053,                0.87282,              0.0097822,              0.0097822,              0.0097822
                     25,                0.85713,                 1.0241,                 1.1013,                0.95012,                0.93945,                0.98016,                0.85814,                0.54069,                0.42922,                0.87157,              0.0097723,              0.0097723,              0.0097723
                     26,                0.84809,                 0.9952,                 1.0929,                 0.9524,                0.94063,                0.97954,                0.85532,                0.54619,                0.42826,                0.87435,              0.0097624,              0.0097624,              0.0097624
                     27,                0.84576,                 0.9849,                 1.0923,                0.93894,                0.95061,                0.97822,                0.85835,                0.52436,                 0.4211,                0.86581,              0.0097525,              0.0097525,              0.0097525
                     28,                0.84992,                 1.0007,                 1.0941,                0.93448,                0.93891,                0.97278,                0.85401,                0.52933,                 0.4472,                0.87696,              0.0097426,              0.0097426,              0.0097426
                     29,                0.83653,                0.97824,                 1.0901,                0.95576,                0.95046,                0.98263,                0.86351,                 0.5297,                 0.4021,                 0.8662,              0.0097327,              0.0097327,              0.0097327
                     30,                0.84062,                0.96712,                 1.0834,                0.93007,                0.93897,                0.97473,                0.85553,                 0.5411,                0.43898,                0.87282,              0.0097228,              0.0097228,              0.0097228
                     31,                0.83637,                0.96833,                 1.0844,                0.95337,                0.96057,                0.98099,                0.86091,                0.52905,                0.40143,                0.86464,              0.0097129,              0.0097129,              0.0097129
                     32,                0.83979,                 0.9639,                 1.0846,                0.95985,                 0.9544,                0.98416,                0.86817,                0.53024,                0.40463,                0.86954,               0.009703,               0.009703,               0.009703
                     33,                0.83658,                0.94661,                 1.0847,                0.96345,                0.96613,                0.98575,                0.86185,                0.53628,                0.39343,                0.86582,              0.0096931,              0.0096931,              0.0096931
                     34,                0.84097,                0.96152,                 1.0918,                0.95732,                 0.9526,                0.98387,                0.86666,                0.51966,                 0.3987,                0.86619,              0.0096832,              0.0096832,              0.0096832
                     35,                0.82689,                 0.9407,                 1.0825,                0.95752,                0.96499,                 0.9844,                0.86298,                  0.543,                0.39241,                 0.8683,              0.0096733,              0.0096733,              0.0096733
                     36,                 0.8308,                 0.9376,                 1.0856,                0.96147,                0.95968,                0.98336,                0.87253,                0.50465,                0.38685,                0.85512,              0.0096634,              0.0096634,              0.0096634
                     37,                0.83034,                0.91833,                 1.0841,                 0.9506,                0.96385,                0.98471,                0.87311,                0.51525,                0.38362,                0.85511,              0.0096535,              0.0096535,              0.0096535
                     38,                0.82047,                  0.922,                 1.0789,                0.93397,                0.93664,                0.97396,                0.85318,                0.54055,                0.45298,                0.87192,              0.0096436,              0.0096436,              0.0096436
                     39,                0.82633,                0.91951,                 1.0826,                0.96534,                0.95672,                0.98595,                0.86767,                0.52708,                0.38868,                0.86184,              0.0096337,              0.0096337,              0.0096337
                     40,                0.81883,                0.90396,                 1.0748,                0.94047,                0.95159,                0.98071,                0.86858,                0.51011,                0.39537,                0.86328,              0.0096238,              0.0096238,              0.0096238
                     41,                0.82533,                 0.9173,                 1.0791,                0.96479,                0.95909,                0.98777,                0.87627,                 0.5097,                0.37322,                0.85303,              0.0096139,              0.0096139,              0.0096139
                     42,                0.81302,                0.90869,                  1.073,                0.96132,                0.96518,                0.98817,                0.87802,                0.51138,                0.37659,                0.85756,               0.009604,               0.009604,               0.009604
                     43,                0.81571,                0.91019,                 1.0801,                0.96928,                0.96032,                0.98596,                0.87549,                0.50968,                0.36841,                0.85923,              0.0095941,              0.0095941,              0.0095941
                     44,                 0.8098,                0.90106,                 1.0716,                0.95727,                0.96287,                0.98826,                0.87645,                0.51856,                0.37849,                0.85963,              0.0095842,              0.0095842,              0.0095842
